,Field ID,Description,metric,roi,hemi,hemi_ROI
43,26523,Volume of 3rd-Ventricle (whole brain),Volume,3rd-Ventricle,,3rd-Ventricle
44,26524,Volume of 4th-Ventricle (whole brain),Volume,4th-Ventricle,,4th-Ventricle
45,26525,Volume of 5th-Ventricle (whole brain),Volume,5th-Ventricle,,5th-Ventricle
46,26564,Volume of Accumbens-area (left hemisphere),Volume,Accumbens-area,Left-,Left-Accumbens-area
47,26595,Volume of Accumbens-area (right hemisphere),Volume,Accumbens-area,Right-,Right-Accumbens-area
48,26563,Volume of Amygdala (left hemisphere),Volume,Amygdala,Left-,Left-Amygdala
49,26594,Volume of Amygdala (right hemisphere),Volume,Amygdala,Right-,Right-Amygdala
50,26526,Volume of Brain-Stem (whole brain),Volume,Brain-Stem,,Brain-Stem
51,26514,Volume of BrainSeg (whole brain),Volume,BrainSeg,,BrainSeg
52,26515,Volume of BrainSegNotVent (whole brain),Volume,BrainSegNotVent,,BrainSegNotVent
53,26516,Volume of BrainSegNotVentSurf (whole brain),Volume,BrainSegNotVentSurf,,BrainSegNotVentSurf
54,26535,Volume of CC-Anterior (whole brain),Volume,CC-Anterior,,CC-Anterior
55,26533,Volume of CC-Central (whole brain),Volume,CC-Central,,CC-Central
56,26534,Volume of CC-Mid-Anterior (whole brain),Volume,CC-Mid-Anterior,,CC-Mid-Anterior
57,26532,Volume of CC-Mid-Posterior (whole brain),Volume,CC-Mid-Posterior,,CC-Mid-Posterior
58,26531,Volume of CC-Posterior (whole brain),Volume,CC-Posterior,,CC-Posterior
59,26527,Volume of CSF (whole brain),Volume,CSF,,CSF
60,26559,Volume of Caudate (left hemisphere),Volume,Caudate,Left-,Left-Caudate
61,26590,Volume of Caudate (right hemisphere),Volume,Caudate,Right-,Right-Caudate
62,26557,Volume of Cerebellum-Cortex (left hemisphere),Volume,Cerebellum-Cortex,Left-,Left-Cerebellum-Cortex
63,26588,Volume of Cerebellum-Cortex (right hemisphere),Volume,Cerebellum-Cortex,Right-,Right-Cerebellum-Cortex
64,26556,Volume of Cerebellum-White-Matter (left hemisphere),Volume,Cerebellum-White-Matter,Left-,Left-Cerebellum-White-Matter
65,26587,Volume of Cerebellum-White-Matter (right hemisphere),Volume,Cerebellum-White-Matter,Right-,Right-Cerebellum-White-Matter
66,26553,Volume of CerebralWhiteMatter (left hemisphere),Volume,CerebralWhiteMatter,Left-,Left-CerebralWhiteMatter
67,26584,Volume of CerebralWhiteMatter (right hemisphere),Volume,CerebralWhiteMatter,Right-,Right-CerebralWhiteMatter
68,26552,Volume of Cortex (left hemisphere),Volume,Cortex,Left-,Left-Cortex
69,26583,Volume of Cortex (right hemisphere),Volume,Cortex,Right-,Right-Cortex
70,26521,Volume of EstimatedTotalIntraCranial (whole brain),Volume,EstimatedTotalIntraCranial,,EstimatedTotalIntraCranial
71,26562,Volume of Hippocampus (left hemisphere),Volume,Hippocampus,Left-,Left-Hippocampus
72,26593,Volume of Hippocampus (right hemisphere),Volume,Hippocampus,Right-,Right-Hippocampus
73,26555,Volume of Inf-Lat-Vent (left hemisphere),Volume,Inf-Lat-Vent,Left-,Left-Inf-Lat-Vent
74,26586,Volume of Inf-Lat-Vent (right hemisphere),Volume,Inf-Lat-Vent,Right-,Right-Inf-Lat-Vent
75,26554,Volume of Lateral-Ventricle (left hemisphere),Volume,Lateral-Ventricle,Left-,Left-Lateral-Ventricle
76,26585,Volume of Lateral-Ventricle (right hemisphere),Volume,Lateral-Ventricle,Right-,Right-Lateral-Ventricle
77,26530,Volume of Optic-Chiasm (whole brain),Volume,Optic-Chiasm,,Optic-Chiasm
78,26561,Volume of Pallidum (left hemisphere),Volume,Pallidum,Left-,Left-Pallidum
79,26592,Volume of Pallidum (right hemisphere),Volume,Pallidum,Right-,Right-Pallidum
80,26560,Volume of Putamen (left hemisphere),Volume,Putamen,Left-,Left-Putamen
81,26591,Volume of Putamen (right hemisphere),Volume,Putamen,Right-,Right-Putamen
82,26517,Volume of SubCortGray (whole brain),Volume,SubCortGray,,SubCortGray
83,26519,Volume of SupraTentorial (whole brain),Volume,SupraTentorial,,SupraTentorial
84,26520,Volume of SupraTentorialNotVent (whole brain),Volume,SupraTentorialNotVent,,SupraTentorialNotVent
85,26558,Volume of Thalamus-Proper (left hemisphere),Volume,Thalamus-Proper,Left-,Left-Thalamus-Proper
86,26589,Volume of Thalamus-Proper (right hemisphere),Volume,Thalamus-Proper,Right-,Right-Thalamus-Proper
87,26518,Volume of TotalGray (whole brain),Volume,TotalGray,,TotalGray
88,26565,Volume of VentralDC (left hemisphere),Volume,VentralDC,Left-,Left-VentralDC
89,26596,Volume of VentralDC (right hemisphere),Volume,VentralDC,Right-,Right-VentralDC
90,26522,Volume of VentricleChoroid (whole brain),Volume,VentricleChoroid,,VentricleChoroid
91,26528,Volume of WM-hypointensities (whole brain),Volume,WM-hypointensities,,WM-hypointensities
92,26567,Volume of choroid-plexus (left hemisphere),Volume,choroid-plexus,Left-,Left-choroid-plexus
93,26598,Volume of choroid-plexus (right hemisphere),Volume,choroid-plexus,Right-,Right-choroid-plexus
94,26529,Volume of non-WM-hypointensities (whole brain),Volume,non-WM-hypointensities,,non-WM-hypointensities
95,26566,Volume of vessel (left hemisphere),Volume,vessel,Left-,Left-vessel
96,26597,Volume of vessel (right hemisphere),Volume,vessel,Right-,Right-vessel
